iter	Passed	Remaining
157	1419	7566
158	1426	7546
159	1434	7530
160	1441	7513
161	1449	7498
162	1457	7483
163	1465	7468
164	1472	7454
165	1480	7439
166	1487	7421
167	1495	7404
168	1502	7386
169	1508	7367
170	1516	7351
171	1523	7336
172	1531	7322
173	1539	7309
174	1547	7296
175	1555	7282
176	1563	7269
177	1571	7255
178	1578	7241
179	1586	7227
180	1593	7211
181	1601	7196
182	1607	7178
183	1614	7158
184	1621	7144
185	1629	7130
186	1636	7116
187	1644	7103
188	1651	7088
189	1659	7075
190	1669	7069
191	1677	7060
192	1685	7048
193	1693	7036
194	1701	7025
195	1709	7011
196	1716	6998
197	1724	6983
198	1731	6969
199	1738	6955
200	1745	6938
201	1752	6924
202	1760	6910
203	1767	6898
204	1775	6886
205	1783	6874
206	1791	6862
207	1799	6850
208	1807	6840
209	1815	6828
210	1822	6816
211	1830	6804
212	1838	6792
213	1845	6780
214	1853	6765
215	1860	6751
216	1866	6734
217	1873	6722
218	1881	6710
219	1889	6698
220	1897	6687
221	1904	6675
222	1912	6663
223	1920	6653
224	1928	6643
225	1936	6630
226	1943	6617
227	1951	6606
228	1958	6593
229	1964	6577
230	1971	6564
231	1979	6551
232	1986	6539
233	1994	6528
234	2001	6516
235	2009	6505
236	2016	6492
237	2024	6480
238	2031	6467
239	2037	6452
240	2044	6439
241	2056	6440
242	2063	6427
243	2069	6413
244	2077	6400
245	2084	6389
246	2092	6378
247	2099	6366
248	2107	6354
249	2114	6343
250	2121	6331
251	2128	6317
252	2135	6303
253	2142	6293
254	2150	6281
255	2157	6271
256	2165	6260
257	2172	6249
258	2180	6237
259	2187	6226
260	2196	6218
261	2205	6212
262	2214	6204
263	2222	6196
264	2230	6185
265	2237	6173
266	2244	6162
267	2251	6150
268	2258	6136
269	2265	6125
270	2277	6127
271	2295	6144
272	2312	6157
273	2326	6163
274	2339	6167
275	2353	6174
276	2372	6191
277	2388	6203
278	2402	6209
279	2412	6204
280	2427	6210
281	2436	6203
282	2452	6213
283	2461	6205
284	2470	6196
285	2480	6191
286	2490	6186
287	2501	6184
288	2511	6178
289	2520	6171
290	2531	6168
291	2540	6160
292	2551	6156
293	2562	6154
294	2569	6141
295	2577	6130
296	2586	6122
297	2594	6111
298	2602	6101
299	2610	6090
300	2617	6079
301	2625	6068
302	2633	6057
303	2640	6046
304	2648	6035
305	2657	6026
306	2666	6018
307	2680	6022
308	2691	6019
309	2700	6010
310	2708	6000
311	2716	5989
312	2724	5979
313	2732	5968
314	2739	5957
315	2747	5946
316	2754	5935
317	2762	5923
318	2769	5911
319	2776	5899
320	2782	5885
321	2789	5874
322	2797	5863
323	2805	5852
324	2812	5842
325	2820	5831
326	2828	5821
327	2836	5810
328	2845	5804
329	2853	5794
330	2861	5783
331	2870	5776
332	2879	5768
333	2889	5761
334	2897	5752
335	2904	5740
336	2912	5729
337	2920	5719
338	2927	5708
339	2935	5699
340	2943	5688
341	2951	5678
342	2958	5667
343	2966	5657
344	2974	5646
345	2981	5635
346	2988	5624
347	2996	5613
348	3002	5601
349	3010	5591
350	3018	5580
351	3026	5572
352	3034	5562
353	3042	5552
354	3050	5542
355	3058	5532
356	3066	5522
357	3074	5512
358	3081	5502
359	3089	5492
360	3097	5482
361	3104	5471
362	3111	5460
363	3119	5449
364	3126	5438
365	3132	5426
366	3140	5416
367	3147	5406
368	3157	5398
369	3168	5395
370	3180	5392
371	3190	5385
372	3199	5377
373	3209	5372
374	3219	5365
375	3233	5366
376	3246	5364
377	3256	5359
378	3265	5349
379	3275	5343
380	3282	5333
381	3289	5322
382	3296	5311
383	3303	5299
384	3311	5289
385	3319	5279
386	3326	5269
387	3334	5259
388	3342	5249
389	3349	5239
390	3357	5229
391	3365	5220
392	3373	5211
393	3381	5200
394	3388	5189
395	3395	5179
396	3402	5167
397	3409	5157
398	3417	5147
399	3425	5138
400	3432	5128
401	3440	5117
402	3447	5107
403	3455	5098
404	3463	5088
405	3470	5078
406	3478	5068
407	3485	5058
408	3493	5047
409	3504	5043
410	3512	5033
411	3519	5023
412	3527	5013
413	3534	5003
